name,carbs,sugar,s_fat,discounted price,kcal,url,fat,categorys,protein,original price,salt,amount
"Apelsinų sultys GRANINI, 1 l",9.0,nan,nan,nan,43.0,https://www.barbora.lt/produktai/apelsinu-sultys-granini-1-l,0.5,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Sultys",1.0,2.29,nan,1000
"Negazuotas natūralus mineralinis vanduo AKVILĖ, 1,5 l",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-naturalus-mineralinis-vanduo-akvile-1-5-l-1037804,nan,Gėrimai	Vanduo	Negazuotas vanduo,nan,0.62,nan,1500
"Negazuotas natūralus mineralinis vanduo AKVILĖ, 2 l",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-naturalus-mineralinis-vanduo-akvile-2-l-1037802,nan,Gėrimai	Vanduo	Negazuotas vanduo,nan,0.79,nan,2000
"Negazuotas granatų skonio gėrimas GAJA, 2 l",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-granatu-skonio-gerimas-gaja-2-l,nan,Gėrimai	Gaivieji gėrimai	Negazuoti vaisvandeniai,nan,1.15,nan,1000
"Negazuotas granatų skonio gėrimas GAJA, 1 l",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-granatu-skonio-gerimas-gaja-1-l,nan,Gėrimai	Gaivieji gėrimai	Negazuoti vaisvandeniai,nan,0.67,nan,1000
"Negazuotas vaisių skonio gėrimas GAJA, 1 l",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-vaisiu-skonio-gerimas-gaja-1-l,nan,Gėrimai	Gaivieji gėrimai	Negazuoti vaisvandeniai,nan,0.67,nan,1000
"Negazuotas vaisių skonio gėrimas GAJA, 2 l",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-vaisiu-skonio-gerimas-gaja-2-l,nan,Gėrimai	Gaivieji gėrimai	Negazuoti vaisvandeniai,nan,1.14,nan,1000
"Airiškas viskis WEST CORK BOURBON CASK (40%), 700 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/airiskas-viskis-west-cork-bourbon-cask-40-proc-700-ml,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Viskis,nan,21.99,nan,700
"Škotiškas viskis OBAN SINGLE MALT 14 Y.O. (43%), 700 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/skotiskas-viskis-oban-single-malt-14-y-o-43-proc-700-ml,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Viskis,nan,69.99,nan,700
"Škotiškas viskis J&B RARE (40%), 700 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/skotiskas-viskis-j-b-rare-40-proc-700-ml,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Viskis,nan,18.99,nan,700
"Šviesusis alus WARSTEINER PREMIUM PILSENER (4,8%), 500 ml skard.",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/sviesusis-alus-warsteiner-premium-pilsener-4-8-proc-500-ml-skard,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.19,nan,500
"VOLFO ENGELMAN šviesusis alus IPA (6%), 568 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/volfo-engelman-sviesusis-alus-ipa-6-proc-568-ml,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.19,nan,568
"VOLFO ENGELMAN šviesusis BRAVORO alus (5,2%), 568 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/volfo-engelman-sviesusis-bravoro-alus-5-2-proc-568-ml-br00165,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.09,nan,568
"VOLFO ENGELMAN kvietinis alus BALTA PINTA (5%), 568 ml but.",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/alus-balta-pinta-5-proc-568-ml,nan,Gėrimai	Alus ir sidras	Kvietinis alus,nan,1.09,nan,568
"VOLFO ENGELMAN kvietinis alus BALTA PINTA (5%), 568 ml skard.",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/volfo-engelman-kvietinis-alus-balta-pinta-5-proc-568-ml-skard,nan,Gėrimai	Alus ir sidras	Kvietinis alus,nan,1.15,nan,568
"Šviesusis alus VOLFAS ENGELMAN RINKTINIS (5,2%), 568 ml, but.",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/volfo-engelman-sviesusis-alus-rinktinis-5-2-proc-568-ml,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.09,nan,568
"VOLFO ENGELMAN šviesusis alus BLOND (4,5%), 568 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/volfo-engelman-sviesusis-alus-blond-4-5-proc-568-ml,nan,Gėrimai	Alus ir sidras	Kvietinis alus,nan,1.19,nan,568
"VOLFO ENGELMAN alaus kokteilis KRIEK (4%), 568 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/volfo-engelman-alaus-kokteilis-kriek-4-proc-568-ml,nan,Gėrimai	Alus ir sidras	Alaus kokteiliai,nan,1.09,nan,568
"VOLFO ENGELMAN šviesusis alus RINKTINIS (5,2%), 568 ml, skard.",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/volfo-engelman-sviesusis-alus-rinktinis-5-2-proc-568-ml-skard,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.15,nan,568
"VOLFO ENGELMAN kvietinis alus BALTA PINTA (5%) (4 x 568 ml), 2272 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/volfo-engelman-kvietinis-alus-balta-pinta-5-proc-4-x-568-ml-2272-ml,nan,Gėrimai	Alus ir sidras	Alaus pakuotės,nan,4.19,nan,2272
"VOLFO ENGELMAN šviesusis alus 1410 (5,3%), 568 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/volfo-engelman-sviesusis-alus-1410-5-3-proc-568-ml-br00144,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,0.99,nan,568
"Traškios duonelės SONKO su speltomis ir moliūgų sėklomis, 170 g",75.2,1.1,0.5,nan,372.0,https://www.barbora.lt/produktai/traskios-duoneles-sonko-su-speltomis-ir-moliugu-seklomis-170-g,2.1,Duonos gaminiai ir konditerija	Duonos pakaitalai	Duoniukai,10.4,1.01,0.98,170
"Speltų sumuštinių duona TOSTE, 360 g",45.9,3.8,0.6,1.24,282.0,https://www.barbora.lt/produktai/speltu-sumustiniu-duona-toste-360-g,5.6,Duonos gaminiai ir konditerija	Duona	Sumuštinių duona ir duonelės,9.8,1.55,1.2,360
"Traškios KLASIKINĖS lazdelės SAULĖS GRŪDAS, 125 g",64.2,2.6,6.15,nan,411.0,https://www.barbora.lt/produktai/traskios-klasikines-lazdeles-saules-grudas-125-g,12.2,Duonos gaminiai ir konditerija	Duonos pakaitalai	Duonos lazdelės,8.6,0.79,2.19,125
"Bandelė su varškės įdaru, 100 g",52.44,18.33,2.05,nan,146.53,https://www.barbora.lt/produktai/bandele-su-varskes-idaru-100-g,4.27,"Duonos gaminiai ir konditerija	Šviežiai keptos bandelės, užkandžiai	Šviežiai keptos saldžios bandelės",11.51,0.45,2.63,100
"Kasdieninė itališka duona čiabata, 320 g",53.0,0.4,0.4,nan,290.0,https://www.barbora.lt/produktai/kasdienine-italiska-duona-ciabata-320-g,4.0,Duonos gaminiai ir konditerija	Šviežiai kepta duona	Šviežiai kepta šviesi duona,9.2,0.79,1.5,320
"Bandelė su kakaviniu glaistu, 70 g",61.0,18.8,1.2,nan,190.0,https://www.barbora.lt/produktai/bandele-su-kakaviniu-glaistu-70-g,8.6,"Duonos gaminiai ir konditerija	Šviežiai keptos bandelės, užkandžiai	Šviežiai keptos saldžios bandelės",10.7,0.29,7.9,70
"Juoda ruginė raikyta AGOTOS duona su saulėgrąžomis, 375 g",44.0,5.0,0.7,0.65,284.0,https://www.barbora.lt/produktai/juoda-rugine-raikyta-agotos-duona-su-saulegrazomis-375-g,7.0,Duonos gaminiai ir konditerija	Duona	Tamsi duona su pagardais,8.6,0.82,1.25,375
"Juoda ruginė raikyta duona AGOTA, 375 g",49.0,5.5,0.1,nan,242.0,https://www.barbora.lt/produktai/juoda-rugine-raikyta-duona-agota-375-g,1.0,Duonos gaminiai ir konditerija	Duona	Tamsi duona,7.2,0.75,1.25,375
"Sūrūs šaukšteliai OLD TOWN BAKERY sumuštiniams sudėti, 200 g",49.0,3.2,19.0,nan,519.0,https://www.barbora.lt/produktai/surus-sauksteliai-old-town-bakery-sumustiniams-sudeti-200-g,33.0,Duonos gaminiai ir konditerija	Kiti duonos gaminiai	Kiti duonos gaminiai,6.5,3.69,2.3,200
"Grietinėtis, 80 g",50.57,20.82,9.52,nan,269.42,https://www.barbora.lt/produktai/grietinetis-80-g,17.28,"Duonos gaminiai ir konditerija	Šviežiai keptos bandelės, užkandžiai	Šviežiai keptos saldžios bandelės",11.57,0.38,0.17,80
"Ekologiška tamsi duona be pridėtinių mielių, 350 g",41.5,0.7,0.1,nan,211.0,https://www.barbora.lt/produktai/ekologiska-tamsi-duona-be-pridetiniu-mieliu-350-g,1.1,Duonos gaminiai ir konditerija	Duona	Tamsi duona,5.6,0.75,1.4,350
"AUTENTIŠKA visų grūdo dalių bemielė ruginė duona, 300 g",44.0,8.7,0.2,nan,239.0,https://www.barbora.lt/produktai/autentiska-visu-grudo-daliu-bemiele-rugine-duona-300-g,2.1,Duonos gaminiai ir konditerija	Duona	Tamsi duona,7.3,0.95,1.27,300
"Dešrainio bandelės MANTINGA (4 x 60 g) (atitirpintos), 240 g",55.0,6.2,0.5,nan,292.0,https://www.barbora.lt/produktai/desrainio-bandeles-mantinga-4-x-60-g-atitirpintos-240-g,4.1,Duonos gaminiai ir konditerija	Bandelės ir spurgos	Nesaldžios bandelės,7.9,0.87,1.3,240
"Šviesi ruginė raikyta PALANGOS duona, 700 g",47.7,4.2,0.2,nan,246.0,https://www.barbora.lt/produktai/sviesi-rugine-raikyta-palangos-duona-700-g,1.8,Duonos gaminiai ir konditerija	Duona	Šviesi duona,6.3,0.92,0.9,700
"Batonas LIETUVAITĖ, 350 g",51.3,1.1,0.2,nan,259.0,https://www.barbora.lt/produktai/batonas-lietuvaite-350-g,2.0,Duonos gaminiai ir konditerija	Duona	Batonas,8.0,0.47,1.0,350
"Duonos lazdelės GRISSINI su sezamų sėklomis, 125 g",78.8,1.5,0.5,nan,416.0,https://www.barbora.lt/produktai/duonos-lazdeles-grissini-su-sezamu-seklomis-125-g,6.1,Duonos gaminiai ir konditerija	Duonos pakaitalai	Duonos lazdelės,11.5,0.79,2.25,125
"Bemielė ruginė duona, 450 g",50.7,7.1,0.2,nan,256.0,https://www.barbora.lt/produktai/bemiele-rugine-duona-450-g,2.0,Duonos gaminiai ir konditerija	Duona	Tamsi duona,5.5,1.15,1.25,450
"Visų grūdo dalių ruginė raikyta duona, 800 g",53.0,11.0,0.2,nan,249.0,https://www.barbora.lt/produktai/visu-grudo-daliu-rugine-raikyta-duona-800-g,1.1,Duonos gaminiai ir konditerija	Duona	Tamsi duona,6.8,1.59,2.0,800
"URTĖS sumuštinių duona su grūdais, 470 g",44.2,2.64,0.72,nan,296.0,https://www.barbora.lt/produktai/urtes-sumustiniu-duona-su-grudais-470-g,7.9,Duonos gaminiai ir konditerija	Duona	Sumuštinių duona ir duonelės,9.5,1.24,1.1,470
"Sumuštinukų duona TIP TOP, 240 g",59.1,4.8,0.3,0.76,305.0,https://www.barbora.lt/produktai/sumustinuku-duona-tip-top-240-g,3.8,Duonos gaminiai ir konditerija	Duona	Sumuštinių duona ir duonelės,8.6,0.95,1.4,240
"Juoda raikyta BOČIŲ duona, 400 g",46.5,5.0,0.1,0.68,225.0,https://www.barbora.lt/produktai/juoda-raikyta-bociu-duona-400-g,1.0,Duonos gaminiai ir konditerija	Duona	Tamsi duona,7.5,0.85,1.4,390
"Kasdieninė tamsi itališka duona čiabata, 320 g",53.0,1.5,0.2,nan,270.0,https://www.barbora.lt/produktai/kasdienine-tamsi-italiska-duona-ciabata-320-g,1.2,Duonos gaminiai ir konditerija	Šviežiai kepta duona	Šviežiai kepta tamsi duona,10.0,0.89,1.7,320
"Kvietinė raikyta duona GOJA, 500 g",47.7,2.2,0.37,nan,260.0,https://www.barbora.lt/produktai/kvietine-raikyta-duona-goja-500-g,2.9,Duonos gaminiai ir konditerija	Duona	Šviesi duona,9.1,1.04,1.0,500
"Skrudinimo duona SKRUDĖ, pagaminta su sviestu, 550 g",53.0,3.4,0.9,nan,288.0,https://www.barbora.lt/produktai/skrudinimo-duona-skrude-pagaminta-su-sviestu-550-g,2.9,Duonos gaminiai ir konditerija	Duona	Sumuštinių duona ir duonelės,6.9,1.31,1.1,550
"Džiūvėsiai VILNIAUS DUONA su razinomis, 250 g",70.0,12.4,0.0,nan,406.0,https://www.barbora.lt/produktai/dziuvesiai-vilniaus-duona-su-razinomis-250-g,8.7,"Duonos gaminiai ir konditerija	Džiūvėsiai, riestainiai, meduoliai ir javinukai	Džiūvėsiai",9.8,1.69,0.8,250
"Visų grūdo dalių tamsi duona RUGELIS be pridėtinio cukraus, 350 g",46.6,1.9,0.2,nan,249.0,https://www.barbora.lt/produktai/visu-grudo-daliu-tamsi-duona-rugelis-be-pridetinio-cukraus-350-g,1.3,Duonos gaminiai ir konditerija	Duona	Tamsi duona,7.7,1.05,1.25,350
"MALŪNO sumuštinių duona, 500 g",53.4,3.39,0.16,nan,281.0,https://www.barbora.lt/produktai/maluno-sumustiniu-duona-500-g,3.1,Duonos gaminiai ir konditerija	Duona	Sumuštinių duona ir duonelės,7.8,0.59,1.2,500
"Juoda raikyta AJERŲ duona, 650 g",53.3,8.0,0.1,nan,257.0,https://www.barbora.lt/produktai/juoda-raikyta-ajeru-duona-650-g,1.0,Duonos gaminiai ir konditerija	Duona	Tamsi duona,6.5,1.05,1.4,650
"Juoda raikyta BOČIŲ duona, 800 g",46.5,5.0,0.1,1.08,225.0,https://www.barbora.lt/produktai/juoda-raikyta-bociu-duona-800-g,1.0,Duonos gaminiai ir konditerija	Duona	Tamsi duona,7.5,1.35,1.4,800
"Prancūziškas batonas su česnakinio sviesto įdaru, 160 g",32.0,0.7,7.1,nan,288.0,https://www.barbora.lt/produktai/prancuziskas-batonas-su-cesnakinio-sviesto-idaru-160-g,15.0,Duonos gaminiai ir konditerija	Šviežiai kepta duona	Šviežiai keptas batonas,5.3,0.59,1.6,160
"Ekologiška visų grūdo dalių ruginė duona, 400 g",42.8,4.1,0.2,nan,233.0,https://www.barbora.lt/produktai/ekologiska-visu-grudo-daliu-rugine-duona-400-g,1.6,Duonos gaminiai ir konditerija	Duona	Tamsi duona,7.4,1.09,0.9,400
"Mažas pyragėlis su obuolių įdaru, 40 g",55.0,22.0,8.8,nan,410.0,https://www.barbora.lt/produktai/mazas-pyragelis-su-obuoliu-idaru-40-g,18.0,"Duonos gaminiai ir konditerija	Šviežiai keptos bandelės, užkandžiai	Šviežiai keptos saldžios bandelės",6.0,0.33,0.55,40
"Juoda VILNIAUS duona be pridėtinio cukraus, 500 g",48.6,1.5,0.1,nan,239.0,https://www.barbora.lt/produktai/juoda-vilniaus-duona-be-pridetinio-cukraus-500-g,1.0,Duonos gaminiai ir konditerija	Duona	Tamsi duona,6.1,0.89,1.2,500
"Malti džiūvėsiai, 500 g",3.7,2.7,1.0,nan,34.0,https://www.barbora.lt/produktai/malti-dziuvesiai-500-g,1.0,Duonos gaminiai ir konditerija	Kiti duonos gaminiai	Kiti duonos gaminiai,2.6,0.79,1.6,500
"Kruasanas su karameliniu įdaru, 75 g",50.9,22.4,7.2,nan,400.0,https://www.barbora.lt/produktai/kruasanas-su-karameliniu-idaru-75-g,17.9,"Duonos gaminiai ir konditerija	Šviežiai keptos bandelės, užkandžiai	Šviežiai keptos saldžios bandelės",8.1,0.52,1.11,75
"Pyragėlis MARCIPANINIS SUKUTIS, 60 g",40.0,16.0,12.0,nan,498.0,https://www.barbora.lt/produktai/pyragelis-marcipaninis-sukutis-60-g,34.0,"Duonos gaminiai ir konditerija	Šviežiai keptos bandelės, užkandžiai	Šviežiai keptos saldžios bandelės",8.8,0.45,0.5,60
"Juoda ruginė raikyta MOČIUTĖS duona, 450 g",49.8,6.7,0.1,nan,249.0,https://www.barbora.lt/produktai/juoda-rugine-raikyta-mociutes-duona-450-g,1.2,Duonos gaminiai ir konditerija	Duona	Tamsi duona,6.5,1.25,1.25,450
"Pieniniai džiūvėsiai VILNIAUS DUONA, 0,25 kg",73.5,17.6,0.5,nan,424.0,https://www.barbora.lt/produktai/pieniniai-dziuvesiai-vilniaus-duona-0-25-kg,8.7,"Duonos gaminiai ir konditerija	Džiūvėsiai, riestainiai, meduoliai ir javinukai	Džiūvėsiai",11.0,1.39,0.9,200
"Sumuštinių duona, 500 g",52.0,3.2,0.4,nan,254.0,https://www.barbora.lt/produktai/sumustiniu-duona-500-g,1.6,Duonos gaminiai ir konditerija	Duona	Sumuštinių duona ir duonelės,7.9,1.29,1.2,500
"Skrudinamoji PUSRYČIŲ duona, 500 g",53.4,3.39,0.16,nan,281.0,https://www.barbora.lt/produktai/skrudinamoji-pusryciu-duona-500-g,3.1,Duonos gaminiai ir konditerija	Duona	Sumuštinių duona ir duonelės,7.8,0.95,1.2,500
"Juoda raikyta duona JORĖ su saulėgrąžomis, 280 g",46.4,8.6,1.1,nan,313.0,https://www.barbora.lt/produktai/juoda-raikyta-duona-jore-su-saulegrazomis-280-g,8.6,Duonos gaminiai ir konditerija	Duona	Tamsi duona su pagardais,9.1,0.89,1.1,280
"Juoda raikyta duona BEATOS VIRTUVĖ su sėklomis, 300 g",39.5,7.2,2.4,nan,351.0,https://www.barbora.lt/produktai/juoda-raikyta-duona-beatos-virtuve-su-seklomis-300-g,15.1,Duonos gaminiai ir konditerija	Duona	Tamsi duona su pagardais,11.4,1.15,1.5,300
"Raikytas SUMUŠTINIŲ batonas, 350 g",49.0,2.0,0.39,nan,263.0,https://www.barbora.lt/produktai/raikytas-sumustiniu-batonas-350-g,3.0,Duonos gaminiai ir konditerija	Duona	Batonas,8.8,0.72,1.0,350
"Šviesusis alus HEINEKEN (5%), 500 ml b.",3.5,0.0,0.0,nan,43.0,https://www.barbora.lt/produktai/sviesusis-alus-heineken-5-proc-500-ml-b,0.0,Gėrimai	Alus ir sidras	Šviesus alus,0.5,1.39,0.0,500
"VILKMERGĖS šviesusis alus (5,6%), 410 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/vilkmerges-sviesusis-alus-5-6-proc-410-ml,nan,Gėrimai	Alus ir sidras	Mažųjų daryklų alus,nan,1.15,nan,410
"VILKMERGĖS tamsusis alus (5,8%), 410 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/vilkmerges-tamsusis-alus-5-8-proc-410-ml,nan,Gėrimai	Alus ir sidras	Mažųjų daryklų alus,nan,1.15,nan,410
"VILKMERGĖS juodųjų serbentų alus (5.5%), 410 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/vilkmerges-juoduju-serbentu-alus-5-5-proc-410-ml,nan,Gėrimai	Alus ir sidras	Mažųjų daryklų alus,nan,1.25,nan,410
"VILKMERGĖS vyšnių alus KRIEK (5%), 410 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/vilkmerges-vysniu-alus-kriek-5-0-proc-410-ml,nan,Gėrimai	Alus ir sidras	Mažųjų daryklų alus,nan,1.25,nan,410
"Šviesusis alus HEINEKEN (5%, 6 vnt. x 500 ml), 3 l",3.5,0.0,0.0,nan,43.0,https://www.barbora.lt/produktai/sviesusis-alus-heineken-5-proc-6-vnt-x-500-ml-3-l,0.0,Gėrimai	Alus ir sidras	Alaus pakuotės,0.5,6.29,0.0,3000
Škotiškas viskis PASSPORT SCOTCH (40%) 700 ml,nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/skotiskas-viskis-passport-scotch-40-proc-700-ml,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Viskis,nan,14.21,nan,700
"Šviesus alus HAMBURGO LAGERAS BERGSCHLOSSCHEN (5%), 500 ml skard.",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/sviesus-alus-hamburgo-lageras-bergschlosschen-5-proc-500-ml-skard,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.05,nan,500
"KALNAPILIO šviesusis alus ORIGINAL LAGER BEER (5%, 6 vnt. x 500 ml), 3 l",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/kalnapilio-sviesusis-alus-original-lager-beer-5-proc-6-vnt-x-500-ml-3-l,nan,Gėrimai	Alus ir sidras	Alaus pakuotės,nan,5.49,nan,3000
"KALNAPILIO šviesusis alus ORIGINAL LAGER BEER (5%), 568 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/kalnapilio-sviesusis-alus-original-lager-beer-5-proc-568-ml,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.04,nan,568
"MIUNCHENO šviesusis alus BERGSCHLOSSCHEN (5.5%), 500 ml skard.",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/miuncheno-sviesusis-alus-bergschlosschen-5-5-proc-500-ml-skard,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.05,nan,500
"Tamsusis alus  ŠOPENO No 6 (5%), 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/tamsusis-alus-sopeno-no-6-5-proc-500-ml,nan,Gėrimai	Alus ir sidras	Tamsus alus,nan,0.79,nan,500
"KALNAPILIO DVARO šviesusis alus (5,2%), 568 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/kalnapilio-dvaro-sviesusis-alus-5-2-proc-568-ml,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,0.99,nan,568
"KALNAPILIO šviesusis alus GRAND SELECT (5,4%), 568 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/kalnapilio-sviesusis-alus-grand-select-5-4-proc-568-ml,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.15,nan,568
"VILKMERGĖS alus LENGVAS ELIS, (5,0%), 410 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/vilkmerges-alus-lengvas-elis-5-0-proc-410-ml-br00874,nan,Gėrimai	Alus ir sidras	Mažųjų daryklų alus,nan,1.15,nan,410
"KALNAPILIO alaus kokteilis LITE GRAPEFRUIT (4%), 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/kalnapilio-alus-lite-grapefruit-4-proc-500-ml,nan,Gėrimai	Alus ir sidras	Alaus kokteiliai,nan,0.95,nan,500
"KALNAPILIO šviesusis alus PILSNER (4,6%), 568 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/kalnapilio-sviesusis-alus-pilsner-4-6-proc-568-ml,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,0.95,nan,568
"VALONIJOS BLANC kvietinis alus BERGSCHLOSSCHEN (4.7%), 500 ml skard.",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/valonijos-blanc-kvietinis-alus-bergschlosschen-4-7-proc-500-ml-skard,nan,Gėrimai	Alus ir sidras	Kvietinis alus,nan,1.05,nan,500
"Nealkoholinis VILKMERGĖS alus, (0,0%), 410 ml",5.9,3.6,0.0,nan,28.0,https://www.barbora.lt/produktai/nealkoholinis-vilkmerges-alus-0-0-proc-410-ml,0.0,Gėrimai	Nealkoholiniai gėrimai	Nealkoholinis alus,0.3,0.75,0.0,410
"Škotiškas viskis CHIVAS REGAL 12 Y.O. (40%, dėžutėje), 700 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/skotiskas-viskis-chivas-regal-12-y-o-40-proc-dezuteje-700-ml,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Viskis,nan,28.59,nan,700
"TAURO šviesusis alus TRADICINIS (6%), 568 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/tauro-sviesusis-alus-tradicinis-6-proc-568-ml,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,0.95,nan,568
"Škotiškas viskis SINGLETON 12 Y.O. (40%), 700 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/00000000000br00032,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Viskis,nan,49.99,nan,700
"GENYS BREWING CO šviesusis alus TATTOO LAGER (4%), 330 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/genys-brewing-co-sviesusis-alus-tattoo-lager-4-proc-330-ml,nan,Gėrimai	Alus ir sidras	Mažųjų daryklų alus,nan,2.09,nan,330
"GENYS BREWING CO šviesusis elis KALIFORNIKACIJA (5%), 330 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/genys-brewing-co-sviesusis-elis-kalifornikacija-5-proc-330-ml,nan,Gėrimai	Alus ir sidras	Mažųjų daryklų alus,nan,2.29,nan,330
"VILKMERGĖS craft sidras (5.4%), 410 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/vilkmerges-craft-sidras-5-4-proc-410-ml,nan,Gėrimai	Alus ir sidras	Sidras,nan,1.45,nan,410
"Škotiškas viskis TALISKER 10 Y.O. (45,8%, dėžutėje), 700 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/skotiskas-viskis-talisker-10-y-o-45-8-proc-dezuteje-700-ml,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Viskis,nan,46.99,nan,700
"Šviesusis alus KROMBACHER PILS (4,8%), 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/sviesusis-alus-krombacher-pils-4-8-proc-500-ml-br00920,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.09,nan,500
"Šviesusis alus CZECH INN LAGER (4,8%), 500 ml skard.",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/sviesusis-alus-czech-inn-lager-4-8-proc-500-ml-skard,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.09,nan,500
"Škotiškas viskis CHIVAS REGAL EXTRA (40%, dėžutėje), 700 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/viskis-chivas-regal-extra-dezuteje-40-proc-700-ml,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Viskis,nan,43.0,nan,700
"Šviesus alus GRIMBERGEN BLONDE (6,7%), 250 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/sviesus-alus-grimbergen-blonde-6-7-proc-250-ml,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.29,nan,250
"Šviesus alus GRIMBERGEN ROUGE (6%), 250 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/sviesus-alus-grimbergen-rouge-6-proc-250-ml,nan,Gėrimai	Alus ir sidras	Alaus kokteiliai,nan,1.05,nan,250
"Kvietinis alus GRIMBERGEN BLANCHE (6%), 250 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/kvietinis-alus-grimbergen-blanche-6-proc-250-ml-br00168,nan,Gėrimai	Alus ir sidras	Kvietinis alus,nan,1.05,nan,250
"VOLFO ENGELMAN alus CREAM ALE (5,5%), 568 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/volfo-engelman-alus-cream-ale-5-5-proc-568-ml-br00879,nan,Gėrimai	Alus ir sidras	Šviesus alus,nan,1.19,nan,568
"VILNIAUS ALAUS nealkoholinis citrinų skonio alus (iki 0,5%), 330 ml",8.0,4.0,0.0,nan,26.0,https://www.barbora.lt/produktai/vilniaus-alaus-nealkoholinis-citrinu-skonio-alus-iki-0-5-proc-330-ml,0.0,Gėrimai	Nealkoholiniai gėrimai	Nealkoholinis alus,0.2,0.65,0.0,330
